c1,c2,c3,c4,c5,c6,c7,c8,nrtg
0,2,1,0,0,1,0,1,-2.4470217
0,3,1,1,0,0,0,0,-2.458219
0,0,3,0,0,0,1,1,-2.4706945
1,1,1,0,0,2,0,0,-2.4735663
0,2,1,0,1,1,0,0,-2.4749687
0,0,1,3,0,1,0,0,-2.4849873
1,0,1,0,0,0,2,1,-2.5018923
0,1,0,0,1,3,0,0,-2.506829
0,0,0,1,3,0,1,0,-2.5360658
0,0,1,0,2,1,1,0,-2.5403094
0,0,1,0,0,1,1,2,-2.6118562
0,1,0,0,0,4,0,0,-2.6937835
0,1,1,0,1,0,0,2,-2.6988955
0,2,0,1,0,0,0,2,-2.7007482
0,0,3,0,1,0,1,0,-2.7247403
0,1,1,0,1,1,0,1,-2.7252507
0,1,0,0,2,2,0,0,-2.7442589
0,2,0,0,1,1,1,0,-2.7538795
0,1,1,0,0,0,1,2,-2.759924
1,0,2,0,0,2,0,0,-2.7689247
1,3,0,0,0,0,1,0,-2.8001747
0,4,1,0,0,0,0,0,-2.8236642
0,0,0,0,1,4,0,0,-2.861425
0,0,4,0,0,0,1,0,-2.868537
0,3,1,0,1,0,0,0,-2.9014194
0,2,0,0,0,1,1,1,-2.9873474
0,1,0,0,1,2,1,0,-2.9962437
0,2,1,0,0,0,0,2,-3.0141697
0,3,0,0,0,0,0,2,-3.072945
0,0,1,1,0,1,2,0,-3.1052678
0,0,0,0,2,3,0,0,-3.1089482
0,0,1,0,1,1,1,1,-3.1216109
1,0,1,0,0,0,0,3,-3.1425447
0,0,2,1,0,1,1,0,-3.15748
0,1,1,0,1,1,1,0,-3.164857
0,0,0,1,0,1,0,3,-3.1865814
0,0,1,0,0,2,1,1,-3.1905982
0,0,2,0,0,2,0,1,-3.1947887
